2026-06-16T07:31:48.985Z ── audit start ──
2026-06-16T07:32:07.776Z room=5FFC8E46 join:human buyIn=5000 total=58780
2026-06-16T07:32:31.179Z room=5FFC8E46 round-result net=-400 total=58530
2026-06-16T07:32:44.332Z room=5FFC8E46 round-result net=200 total=58630
2026-06-16T07:32:58.526Z room=5FFC8E46 round-result net=-200 total=58680
2026-06-16T07:33:09.614Z room=5FFC8E46 round-result net=250 total=58830
2026-06-16T07:33:21.662Z room=5FFC8E46 round-result net=450 total=59180
2026-06-16T07:34:04.494Z room=5FFC8E46 round-result net=-200 total=59080
2026-06-16T07:34:09.403Z room=5FFC8E46 players-removed-close total=59380
2026-06-16T07:34:24.916Z room=CFF3CCD9 round-result net=-250 total=59380
2026-06-16T07:34:37.469Z room=CFF3CCD9 round-result net=-150 total=58730
2026-06-16T07:34:50.947Z room=CFF3CCD9 round-result net=300 total=58780
2026-06-16T07:35:04.964Z room=CFF3CCD9 round-result net=250 total=58980
2026-06-16T07:35:18.242Z room=CFF3CCD9 round-result net=-250 total=59230
2026-06-16T07:35:31.564Z room=CFF3CCD9 round-result net=-150 total=58980
2026-06-16T07:35:45.145Z room=CFF3CCD9 round-result net=-200 total=58830
2026-06-16T07:35:58.210Z room=CFF3CCD9 round-result net=100 total=58630
2026-06-16T07:36:11.375Z room=CFF3CCD9 round-result net=-200 total=58630
2026-06-16T07:36:24.732Z room=CFF3CCD9 round-result net=350 total=58630
2026-06-16T07:36:36.351Z room=CFF3CCD9 round-result net=-150 total=58780
2026-06-16T07:36:51.996Z room=CFF3CCD9 round-result net=250 total=58830
2026-06-16T07:37:04.716Z room=CFF3CCD9 round-result net=100 total=59030
2026-06-16T07:37:19.402Z room=CFF3CCD9 round-result net=50 total=59080
2026-06-16T07:37:32.554Z room=CFF3CCD9 round-result net=-100 total=59130
2026-06-16T07:37:44.333Z room=CFF3CCD9 round-result net=150 total=59030
2026-06-16T07:37:55.105Z room=CFF3CCD9 round-result net=-50 total=59180
2026-06-16T07:38:07.114Z room=CFF3CCD9 round-result net=400 total=59130
2026-06-16T07:38:20.809Z room=CFF3CCD9 round-result net=-150 total=59380
2026-06-16T07:38:34.235Z room=CFF3CCD9 round-result net=250 total=59430
2026-06-16T07:38:47.931Z room=CFF3CCD9 round-result net=575 total=59780
2026-06-16T07:39:02.010Z room=CFF3CCD9 round-result net=-50 total=60205
2026-06-16T07:39:13.710Z room=CFF3CCD9 round-result net=-200 total=60105
2026-06-16T07:39:27.609Z room=CFF3CCD9 round-result net=250 total=59955
2026-06-16T07:39:42.463Z room=CFF3CCD9 round-result net=350 total=60255
2026-06-16T07:39:56.763Z room=CFF3CCD9 round-result net=-350 total=60555
2026-06-16T07:40:11.287Z room=CFF3CCD9 round-result net=-100 total=60205
2026-06-16T07:40:23.711Z room=CFF3CCD9 round-result net=325 total=60105
2026-06-16T07:40:35.705Z room=CFF3CCD9 round-result net=100 total=60430
2026-06-16T07:40:48.295Z room=CFF3CCD9 round-result net=-150 total=60430
2026-06-16T07:41:01.875Z room=CFF3CCD9 round-result net=-250 total=60280
2026-06-16T07:41:16.198Z room=CFF3CCD9 round-result net=200 total=60130
2026-06-16T07:41:30.770Z room=CFF3CCD9 round-result net=400 total=60280
2026-06-16T07:41:44.995Z room=CFF3CCD9 round-result net=0 total=60730
2026-06-16T07:41:57.118Z room=CFF3CCD9 round-result net=50 total=60730
2026-06-16T07:42:12.303Z room=CFF3CCD9 round-result net=350 total=61130
2026-06-16T07:42:25.438Z room=CFF3CCD9 round-result net=300 total=61280
2026-06-16T07:42:39.824Z room=CFF3CCD9 round-result net=400 total=61580
2026-06-16T07:42:53.113Z room=CFF3CCD9 round-result net=-150 total=61830
2026-06-16T07:43:05.329Z room=CFF3CCD9 round-result net=250 total=61830
2026-06-16T07:43:20.775Z room=CFF3CCD9 round-result net=-200 total=61930
2026-06-16T07:43:33.892Z room=CFF3CCD9 round-result net=-125 total=61580
2026-06-16T07:43:46.027Z room=CFF3CCD9 round-result net=-350 total=61605
2026-06-16T07:43:58.636Z room=CFF3CCD9 round-result net=300 total=61305
2026-06-16T07:44:11.347Z room=CFF3CCD9 round-result net=250 total=61705
2026-06-16T07:44:23.510Z room=CFF3CCD9 round-result net=450 total=62105
2026-06-16T07:44:37.164Z room=CFF3CCD9 round-result net=-400 total=62255
2026-06-16T07:44:49.238Z room=CFF3CCD9 round-result net=525 total=61955
2026-06-16T07:45:01.700Z room=CFF3CCD9 round-result net=300 total=62530
2026-06-16T07:45:12.920Z room=CFF3CCD9 round-result net=400 total=62780
2026-06-16T07:45:24.797Z room=CFF3CCD9 round-result net=300 total=63180
2026-06-16T07:45:38.134Z room=CFF3CCD9 round-result net=-300 total=63380
2026-06-16T07:45:51.682Z room=CFF3CCD9 round-result net=50 total=63180
2026-06-16T07:46:08.082Z room=CFF3CCD9 round-result net=100 total=63230
2026-06-16T07:46:22.331Z room=CFF3CCD9 round-result net=250 total=63230
2026-06-16T07:46:36.386Z room=CFF3CCD9 round-result net=150 total=63580
2026-06-16T07:46:48.868Z room=CFF3CCD9 round-result net=-350 total=63580
2026-06-16T07:47:00.707Z room=CFF3CCD9 round-result net=-50 total=63230
2026-06-16T07:47:14.133Z room=CFF3CCD9 round-result net=50 total=63280
2026-06-16T07:47:26.132Z room=CFF3CCD9 round-result net=-300 total=63180
2026-06-16T07:47:39.371Z room=CFF3CCD9 round-result net=-300 total=62880
2026-06-16T07:47:52.030Z room=CFF3CCD9 round-result net=300 total=62730
2026-06-16T07:48:04.035Z room=CFF3CCD9 round-result net=250 total=63130
2026-06-16T07:48:18.831Z room=CFF3CCD9 round-result net=250 total=63280
2026-06-16T07:48:33.054Z room=CFF3CCD9 round-result net=-300 total=63380
2026-06-16T07:48:47.091Z room=CFF3CCD9 round-result net=200 total=63230
2026-06-16T07:49:01.653Z room=CFF3CCD9 round-result net=-100 total=63330
2026-06-16T07:49:12.098Z room=CFF3CCD9 round-result net=100 total=63230
2026-06-16T07:49:26.148Z room=CFF3CCD9 round-result net=-250 total=63380
2026-06-16T07:49:40.833Z room=CFF3CCD9 round-result net=200 total=63330
2026-06-16T07:49:52.431Z room=CFF3CCD9 round-result net=150 total=63330
2026-06-16T07:50:06.109Z room=CFF3CCD9 round-result net=-400 total=63180
2026-06-16T07:50:19.213Z room=CFF3CCD9 round-result net=0 total=63080
2026-06-16T07:50:32.586Z room=CFF3CCD9 round-result net=-150 total=63080
2026-06-16T07:50:49.264Z room=CFF3CCD9 round-result net=200 total=63130
2026-06-16T07:51:03.699Z room=CFF3CCD9 round-result net=25 total=63130
2026-06-16T07:51:16.482Z room=CFF3CCD9 round-result net=-100 total=63155
2026-06-16T07:51:31.076Z room=CFF3CCD9 round-result net=250 total=63305
2026-06-16T07:51:44.667Z room=CFF3CCD9 round-result net=-100 total=63305
2026-06-16T07:51:57.294Z room=CFF3CCD9 round-result net=-200 total=63205
2026-06-16T07:52:08.377Z room=CFF3CCD9 round-result net=-125 total=63005
2026-06-16T07:52:22.321Z room=CFF3CCD9 round-result net=-100 total=62880
2026-06-16T07:52:35.238Z room=CFF3CCD9 round-result net=-450 total=62780
2026-06-16T07:52:47.712Z room=CFF3CCD9 round-result net=-175 total=62330
2026-06-16T07:53:00.645Z room=CFF3CCD9 round-result net=50 total=62155
2026-06-16T07:53:13.786Z room=CFF3CCD9 round-result net=-200 total=62205
2026-06-16T07:53:28.010Z room=CFF3CCD9 round-result net=-200 total=62005
2026-06-16T07:53:43.921Z room=CFF3CCD9 round-result net=550 total=61805
2026-06-16T07:53:55.816Z room=CFF3CCD9 round-result net=-100 total=62355
2026-06-16T07:54:09.398Z room=CFF3CCD9 round-result net=250 total=62255
2026-06-16T07:54:24.264Z room=CFF3CCD9 round-result net=50 total=62505
2026-06-16T07:54:37.698Z room=CFF3CCD9 round-result net=-350 total=62555
2026-06-16T07:54:48.870Z room=CFF3CCD9 round-result net=-50 total=62205
2026-06-16T07:55:03.654Z room=CFF3CCD9 round-result net=500 total=62155
2026-06-16T07:55:15.440Z room=CFF3CCD9 round-result net=-75 total=62655
2026-06-16T07:55:27.090Z room=CFF3CCD9 round-result net=-300 total=62580
2026-06-16T07:55:38.981Z room=CFF3CCD9 round-result net=-50 total=62280
2026-06-16T07:55:53.121Z room=CFF3CCD9 round-result net=-250 total=62230
